id	title	description	link	image_link	additional_image_link	availability	price	condition	brand	google_product_category	product_type	identifier_exists
79794	REMERA SNIPE S-XL Gris	Descubrí nuestra Remera Básica! Confeccionada en jersey, cuya composición es 100% algodón. El diseño de la prenda es clásico, remera manga corta lisa, cuello en ribb al tono. Es un producto de la marca SNIPE. Disponible en talle S al 4XL, segun stock. Te recomendamos chequear la tabla de medidas antes de comprar.	https://www.pinillos.com.ar/Remera-snipe-s-xl-gris.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Remera-snipe-s-xl-gris-1732379806-0-0.png		in_stock	26378.00 ARS	new	Snipe	Apparel & Accessories > Clothing > Shirts & Tops	Remeras	no
79793	REMERA SNIPE S-XL Azul	¡Descubrí nuestra Remera Básica! Tejido Premium : Fabricada con Jersey 24/1 peinado y Ribb 24/1 peinado, garantiza un tacto suave y una experiencia de uso fresca durante todo el día. 100% Algodón : Compuesta íntegramente por algodón de la más alta calidad, ofrece una comodidad inigualable y una respirabilidad excepcional. Durabilidad Mejorada : Gracias al algodón peinado, la prenda promete una mayor resistencia y solidez, perfecta para el uso diario intensivo. Construcción Robusta : Las costuras de unión y remallado son testimonio de una confección meticulosa, lo que asegura una buena construcción y longevidad. Diseño Clásico : Con un cuello redondo y mangas cortas, su corte clásico se adapta a cualquier tipo de cuerpo, ofreciendo un look pulido y profesional. Adaptabilidad : Su elasticidad natural permite que la remera se ajuste y adhiera al cuerpo sin restringir el movimiento, proporcionando libertad y confort. Versatilidad : Ideal para entornos laborales, su estilo neutro y capacidad de combinar con cualquier prenda la convierten en un básico imprescindible en el guardarropa laboral. Te recomendamos chequear la tabla de medidas antes de comprar.	https://www.pinillos.com.ar/Remera-snipe-s-xl-azul.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Remera-snipe-s-xl-azul-1767362241-0-0.png	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Remera-snipe-s-xl-azul-1767362241-0-1.png,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Remera-snipe-s-xl-azul-1767362241-0-2.png	in_stock	26378.00 ARS	new	Snipe	Apparel & Accessories > Clothing > Shirts & Tops	Remeras	no
78985	AMBO ARCIEL	El Ambo Arciel es una inversión en estilo y distinción. Su tratamiento anti cloro lo hace resistente a las salpicaduras con Lavandina! Chaqueta: escote V. Posee tres bolsillos delanteros súper amplios (uno superior y dos inferiores) ideales para que lleves todos tus accesorios. Pantalón: cuenta con elástico en toda la cintura para que sea mucho más cómodo, también posee dos bolsillos laterales y uno plaque trasero. La botamanga es semi-angosta. Composición: de la chaqueta y pantalón – Tela Arciel INTA (65% Poliester, 35% Viscosa).	https://www.pinillos.com.ar/Ambo-arciel_1728785368.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Ambo-arciel-1729081494-0-0.png		in_stock	82038.00 ARS	new	Arciel	Apparel & Accessories > Clothing > Uniforms	Ambos	no
78668	Jean RICA LEWIS Semielastizado Italiano	"Jean localizado de Rica Lewis, semielastizado, de corte recto, con bandera ""italiana"" bordada en el bolsillo trasero"	https://www.pinillos.com.ar/Jean-rica-lewis-semielastizado-italiano.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Jean-rica-lewis-semielastizado-italiano-1726864001-0-0.jpg	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Jean-rica-lewis-semielastizado-italiano-1726864001-0-1.jpg,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Jean-rica-lewis-semielastizado-italiano-1726864001-0-2.jpg,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Jean-rica-lewis-semielastizado-italiano-1726864001-0-3.jpg,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Jean-rica-lewis-semielastizado-italiano-1726864001-0-4.jpg	in_stock	77440.00 ARS	new	Rica Lewis	Apparel & Accessories > Clothing > Pants	Jeans	no
78666	Jean Clasico RICA LEWIS Negro	Te presentamos nuestro Jean RICA LEWIS clásico de excelente calidad, confeccionado con lona gruesa resistente y muy buenas terminaciones. Este jean es ideal para aquellos que buscan una prenda duradera, elegante y atemporal.	https://www.pinillos.com.ar/Jean-clasico-rica-lewis-negro.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Jean-clasico-rica-lewis-negro-1726859944-0-0.jpg	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Jean-clasico-rica-lewis-negro-1726859944-0-1.jpg,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Jean-clasico-rica-lewis-negro-1726859944-0-2.jpg	in_stock	58080.00 ARS	new	Rica Lewis	Apparel & Accessories > Clothing > Pants	Jeans	no
77276	Calza Termica DUFOUR Boxer Largo	Calza Termica DUFOUR Boxer Largo. Marca Dufour. Colores: Negro. Talles: S, M, L, XL, 2XL. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Calza-termica-dufour-boxer-largo.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Calza-termica-dufour-boxer-largo-1720041097-0-0.jpg	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Calza-termica-dufour-boxer-largo-1720041097-0-1.webp	in_stock	17908.00 ARS	new	Dufour	Apparel & Accessories > Clothing > Underwear & Socks > Underwear	Calzoncillos largos	no
77275	Camiseta Termica DUFOUR Manga Larga	Camiseta Termica DUFOUR Manga Larga. Marca Dufour. Colores: Negro. Talles: S, M, L, XL, 2XL. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Camiseta-termica-dufour-manga-larga.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-termica-dufour-manga-larga-1720041034-0-0.webp	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-termica-dufour-manga-larga-1720041034-0-1.webp,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-termica-dufour-manga-larga-1720041034-0-2.webp,https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camiseta-termica-dufour-manga-larga-1720041034-0-3.webp	in_stock	29040.00 ARS	new	Dufour	Apparel & Accessories > Clothing > Shirts & Tops	Camisetas	no
77274	Pullover WARRIOR Geometria	Pullover WARRIOR Geometria. Marca Warrior. Colores: Azul, Beige, Bordo, Gris, Negro. Talles: 38, 40, 42, 44, 46. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Pullover-warrior-geometria.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Pullover-warrior-geometria-1720036712-0-0.png		in_stock	38720.00 ARS	new	Warrior	Apparel & Accessories > Clothing > Shirts & Tops	Pullovers	no
77273	Pullover WARRIOR Espigas	Pullover WARRIOR Espigas. Marca Warrior. Colores: Beige, Bordo, Gris, Negro. Talles: 38, 40, 42, 44, 46. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Pullover-warrior-espigas_1720036187.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Pullover-warrior-espigas-1720036186-0-0.png		in_stock	38720.00 ARS	new	Warrior	Apparel & Accessories > Clothing > Shirts & Tops	Pullovers	no
77260	Camisa Viyela AERO 46-50	Camisa Viyela AERO 46-50. Marca Aero. Colores: Azul, Negro, Rojo. Talles: 46, 48, 50. Indumentaria y calzado de trabajo Pinillos.	https://www.pinillos.com.ar/Camisa-viyela-aero-46-50_1720035998.html	https://plataforma.iduo.com.ar/Panelcontenidos/Contenidos/Camisa-viyela-aero-46-50-1720035997-0-0.png		in_stock	22748.00 ARS	new	Aero	Apparel & Accessories > Clothing > Shirts & Tops	Camisas	no
